scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-0_biod-1_budget-100_resolution-10km,0,1,1,10,228971.00147683258,3277.8300000000163,solution_es-0_biod-1_budget-100_resolution-10km_10km.rds,solution_es-0_biod-1_budget-100_resolution-10km_10km.tif,8.12732053657163,0.16344996011518084
es-5_biod-1_budget-100_resolution-10km,0.05,1,1,10,228971.00147683258,3293.470000000001,solution_es-5_biod-1_budget-100_resolution-10km_10km.rds,solution_es-5_biod-1_budget-100_resolution-10km_10km.tif,8.12732053657163,0.16344996011518084
es-10_biod-1_budget-100_resolution-10km,0.1,1,1,10,228971.0014741016,4383.670000000013,solution_es-10_biod-1_budget-100_resolution-10km_10km.rds,solution_es-10_biod-1_budget-100_resolution-10km_10km.tif,8.127320536474695,0.16344996011323135
es-15_biod-1_budget-100_resolution-10km,0.15000000000000002,1,1,10,228971.00147481947,4575.190000000002,solution_es-15_biod-1_budget-100_resolution-10km_10km.rds,solution_es-15_biod-1_budget-100_resolution-10km_10km.tif,8.127320536500177,0.1634499601137438
es-20_biod-1_budget-100_resolution-10km,0.2,1,1,10,229035.49682251705,5231.720000000001,solution_es-20_biod-1_budget-100_resolution-10km_10km.rds,solution_es-20_biod-1_budget-100_resolution-10km_10km.tif,8.129609797413021,0.16349599983903998
es-25_biod-1_budget-100_resolution-10km,0.25,1,1,10,233147.14668628678,6140.570000000007,solution_es-25_biod-1_budget-100_resolution-10km_10km.rds,solution_es-25_biod-1_budget-100_resolution-10km_10km.tif,8.275552716653774,0.16643108332955242
es-30_biod-1_budget-100_resolution-10km,0.30000000000000004,1,1,10,248758.5663706138,7030.390000000014,solution_es-30_biod-1_budget-100_resolution-10km_10km.rds,solution_es-30_biod-1_budget-100_resolution-10km_10km.tif,8.829679706478323,0.1775752278207175
es-35_biod-1_budget-100_resolution-10km,0.35000000000000003,1,1,10,269750.2419437177,9190.149999999994,solution_es-35_biod-1_budget-100_resolution-10km_10km.rds,solution_es-35_biod-1_budget-100_resolution-10km_10km.tif,9.57477875780775,0.19256004473222413
es-40_biod-1_budget-100_resolution-10km,0.4,1,1,10,293731.837102248,6367.529999999999,solution_es-40_biod-1_budget-100_resolution-10km_10km.rds,solution_es-40_biod-1_budget-100_resolution-10km_10km.tif,10.426004937431157,0.20967920282158067
es-45_biod-1_budget-100_resolution-10km,0.45,1,1,10,320130.822086504,8502.779999999999,solution_es-45_biod-1_budget-100_resolution-10km_10km.rds,solution_es-45_biod-1_budget-100_resolution-10km_10km.tif,11.363036314432401,0.2285240041934893
es-50_biod-1_budget-100_resolution-10km,0.5,1,1,10,349113.7747247666,8626.339999999997,solution_es-50_biod-1_budget-100_resolution-10km_10km.rds,solution_es-50_biod-1_budget-100_resolution-10km_10km.tif,12.391785565071757,0.24921335971095432
es-55_biod-1_budget-100_resolution-10km,0.55,1,1,10,381319.50114105805,5357.820000000007,solution_es-55_biod-1_budget-100_resolution-10km_10km.rds,solution_es-55_biod-1_budget-100_resolution-10km_10km.tif,13.534927098323148,0.2722032783655918
es-60_biod-1_budget-100_resolution-10km,0.6000000000000001,1,1,10,417654.31891244283,7701.290000000008,solution_es-60_biod-1_budget-100_resolution-10km_10km.rds,solution_es-60_biod-1_budget-100_resolution-10km_10km.tif,14.824630636156705,0.29814073104396566
es-65_biod-1_budget-100_resolution-10km,0.65,1,1,10,458597.2038522705,4675.0500000000175,solution_es-65_biod-1_budget-100_resolution-10km_10km.rds,solution_es-65_biod-1_budget-100_resolution-10km_10km.tif,16.277897414271482,0.32736763256097884
es-70_biod-1_budget-100_resolution-10km,0.7000000000000001,1,1,10,504391.05799915286,4724.100000000035,solution_es-70_biod-1_budget-100_resolution-10km_10km.rds,solution_es-70_biod-1_budget-100_resolution-10km_10km.tif,17.903349235053167,0.3600573774874152
es-75_biod-1_budget-100_resolution-10km,0.75,1,1,10,555335.9323282874,4604.409999999974,solution_es-75_biod-1_budget-100_resolution-10km_10km.rds,solution_es-75_biod-1_budget-100_resolution-10km_10km.tif,19.711636401103448,0.39642415591552305
es-80_biod-1_budget-100_resolution-10km,0.8,1,1,10,611824.2527190848,4132.72000000003,solution_es-80_biod-1_budget-100_resolution-10km_10km.rds,solution_es-80_biod-1_budget-100_resolution-10km_10km.tif,21.716688060166998,0.4367480993638099
es-85_biod-1_budget-100_resolution-10km,0.8500000000000001,1,1,10,675288.4282939069,4267.869999999995,solution_es-85_biod-1_budget-100_resolution-10km_10km.rds,solution_es-85_biod-1_budget-100_resolution-10km_10km.tif,23.969347541756534,0.4820517268954258
es-90_biod-1_budget-100_resolution-10km,0.9,1,1,10,749067.6957978974,3561.5800000000163,solution_es-90_biod-1_budget-100_resolution-10km_10km.rds,solution_es-90_biod-1_budget-100_resolution-10km_10km.tif,26.588140978876847,0.53471873823343
es-95_biod-1_budget-100_resolution-10km,0.9500000000000001,1,1,10,842954.773337235,2562.7000000000116,solution_es-95_biod-1_budget-100_resolution-10km_10km.rds,solution_es-95_biod-1_budget-100_resolution-10km_10km.tif,29.920660679985623,0.6017396228876307
es-100_biod-1_budget-100_resolution-10km,1,1,1,10,NA,NA,NA,NA,8.12732053657163,0.16344996011518084
