scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-0_biod-1_budget-100_resolution-10km,0,1,1,10,228981.92248661665,3693.1000000000004,solution_es-0_biod-1_budget-100_resolution-10km_10km.rds,solution_es-0_biod-1_budget-100_resolution-10km_10km.tif,8.127708177567765,0.16040540411806256
es-5_biod-1_budget-100_resolution-10km,0.05,1,1,10,228981.92248661665,3763.720000000001,solution_es-5_biod-1_budget-100_resolution-10km_10km.rds,solution_es-5_biod-1_budget-100_resolution-10km_10km.tif,8.127708177567765,0.16040540411806256
es-10_biod-1_budget-100_resolution-10km,0.1,1,1,10,228981.92249594652,4610.859999999997,solution_es-10_biod-1_budget-100_resolution-10km_10km.rds,solution_es-10_biod-1_budget-100_resolution-10km_10km.tif,8.12770817789893,0.16040540412459828
es-15_biod-1_budget-100_resolution-10km,0.15000000000000002,1,1,10,228981.92248787516,4105.009999999998,solution_es-15_biod-1_budget-100_resolution-10km_10km.rds,solution_es-15_biod-1_budget-100_resolution-10km_10km.tif,8.127708177612435,0.16040540411894416
es-20_biod-1_budget-100_resolution-10km,0.2,1,1,10,229046.63734787592,5060.2800000000025,solution_es-20_biod-1_budget-100_resolution-10km_10km.rds,solution_es-20_biod-1_budget-100_resolution-10km_10km.tif,8.130005230109534,0.16045073788659767
es-25_biod-1_budget-100_resolution-10km,0.25,1,1,10,233159.16696004456,9259.27,solution_es-25_biod-1_budget-100_resolution-10km_10km.rds,solution_es-25_biod-1_budget-100_resolution-10km_10km.tif,8.275979375999878,0.16333162895093908
es-30_biod-1_budget-100_resolution-10km,0.30000000000000004,1,1,10,248771.6773230653,9230.089999999997,solution_es-30_biod-1_budget-100_resolution-10km_10km.rds,solution_es-30_biod-1_budget-100_resolution-10km_10km.tif,8.830145079440078,0.1742684356948171
es-35_biod-1_budget-100_resolution-10km,0.35000000000000003,1,1,10,269763.8860049719,9257.96,solution_es-35_biod-1_budget-100_resolution-10km_10km.rds,solution_es-35_biod-1_budget-100_resolution-10km_10km.tif,9.575263053454439,0.18897380492390434
es-40_biod-1_budget-100_resolution-10km,0.4,1,1,10,293745.8487495906,10231.689999999995,solution_es-40_biod-1_budget-100_resolution-10km_10km.rds,solution_es-40_biod-1_budget-100_resolution-10km_10km.tif,10.42650228053777,0.20577354345269458
es-45_biod-1_budget-100_resolution-10km,0.45,1,1,10,320145.19396649103,6020.520000000004,solution_es-45_biod-1_budget-100_resolution-10km_10km.rds,solution_es-45_biod-1_budget-100_resolution-10km_10km.tif,11.363546443988607,0.22426669606484745
es-50_biod-1_budget-100_resolution-10km,0.5,1,1,10,349128.57128086325,7773.389999999999,solution_es-50_biod-1_budget-100_resolution-10km_10km.rds,solution_es-50_biod-1_budget-100_resolution-10km_10km.tif,12.392310768496904,0.24457000341912075
es-55_biod-1_budget-100_resolution-10km,0.55,1,1,10,381334.85885480273,8085.859999999986,solution_es-55_biod-1_budget-100_resolution-10km_10km.rds,solution_es-55_biod-1_budget-100_resolution-10km_10km.tif,13.535472220026364,0.2671310096214433
es-60_biod-1_budget-100_resolution-10km,0.6000000000000001,1,1,10,417670.23629166407,7862.659999999989,solution_es-60_biod-1_budget-100_resolution-10km_10km.rds,solution_es-60_biod-1_budget-100_resolution-10km_10km.tif,14.825195623173396,0.29258450760175975
es-65_biod-1_budget-100_resolution-10km,0.65,1,1,10,458613.45674930676,4919.979999999996,solution_es-65_biod-1_budget-100_resolution-10km_10km.rds,solution_es-65_biod-1_budget-100_resolution-10km_10km.tif,16.278474310485457,0.32126587140586943
es-70_biod-1_budget-100_resolution-10km,0.7000000000000001,1,1,10,504407.4763567551,4785.550000000003,solution_es-70_biod-1_budget-100_resolution-10km_10km.rds,solution_es-70_biod-1_budget-100_resolution-10km_10km.tif,17.9039320042862,0.35334529558728084
es-75_biod-1_budget-100_resolution-10km,0.75,1,1,10,555353.579760873,4151.080000000002,solution_es-75_biod-1_budget-100_resolution-10km_10km.rds,solution_es-75_biod-1_budget-100_resolution-10km_10km.tif,19.712262796325312,0.38903383473497605
es-80_biod-1_budget-100_resolution-10km,0.8,1,1,10,611843.4391342963,4729.5,solution_es-80_biod-1_budget-100_resolution-10km_10km.rds,solution_es-80_biod-1_budget-100_resolution-10km_10km.tif,21.71736908154248,0.42860586130793005
es-85_biod-1_budget-100_resolution-10km,0.8500000000000001,1,1,10,675309.7637403924,3720.75,solution_es-85_biod-1_budget-100_resolution-10km_10km.rds,solution_es-85_biod-1_budget-100_resolution-10km_10km.tif,23.970104842948654,0.47306501046597765
es-90_biod-1_budget-100_resolution-10km,0.9,1,1,10,749092.1113532911,3091.5800000000017,solution_es-90_biod-1_budget-100_resolution-10km_10km.rds,solution_es-90_biod-1_budget-100_resolution-10km_10km.tif,26.589007608465234,0.5247506944584251
es-95_biod-1_budget-100_resolution-10km,0.9500000000000001,1,1,10,842984.6888918516,2679.62999999999,solution_es-95_biod-1_budget-100_resolution-10km_10km.rds,solution_es-95_biod-1_budget-100_resolution-10km_10km.tif,29.921722531922462,0.5905239078204519
es-100_biod-1_budget-100_resolution-10km,1,1,1,10,NA,NA,NA,NA,8.127708177567765,0.16040540411806256
