scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster
es-5_biod-0_budget-100_resolution-2km,0.05,0,1,2,3669658,56.089999999999236,solution_es-5_biod-0_budget-100_resolution-2km_2km.rds,solution_es-5_biod-0_budget-100_resolution-2km_2km.tif
es-10_biod-0_budget-100_resolution-2km,0.1,0,1,2,3671502.7091330825,153.85000000000036,solution_es-10_biod-0_budget-100_resolution-2km_2km.rds,solution_es-10_biod-0_budget-100_resolution-2km_2km.tif
es-15_biod-0_budget-100_resolution-2km,0.15000000000000002,0,1,2,3735847.4205490514,295.3099999999995,solution_es-15_biod-0_budget-100_resolution-2km_2km.rds,solution_es-15_biod-0_budget-100_resolution-2km_2km.tif
es-20_biod-0_budget-100_resolution-2km,0.2,0,1,2,3853738.345151002,374.6999999999998,solution_es-20_biod-0_budget-100_resolution-2km_2km.rds,solution_es-20_biod-0_budget-100_resolution-2km_2km.tif
es-25_biod-0_budget-100_resolution-2km,0.25,0,1,2,4013400.1433027606,388.02000000000044,solution_es-25_biod-0_budget-100_resolution-2km_2km.rds,solution_es-25_biod-0_budget-100_resolution-2km_2km.tif
es-30_biod-0_budget-100_resolution-2km,0.30000000000000004,0,1,2,4257183.772403847,445.96000000000004,solution_es-30_biod-0_budget-100_resolution-2km_2km.rds,solution_es-30_biod-0_budget-100_resolution-2km_2km.tif
es-35_biod-0_budget-100_resolution-2km,0.35000000000000003,0,1,2,4650312.799867345,912.21,solution_es-35_biod-0_budget-100_resolution-2km_2km.rds,solution_es-35_biod-0_budget-100_resolution-2km_2km.tif
es-40_biod-0_budget-100_resolution-2km,0.4,0,1,2,5111363.565996211,464.8000000000002,solution_es-40_biod-0_budget-100_resolution-2km_2km.rds,solution_es-40_biod-0_budget-100_resolution-2km_2km.tif
es-45_biod-0_budget-100_resolution-2km,0.45,0,1,2,5613675.397322715,446.77000000000044,solution_es-45_biod-0_budget-100_resolution-2km_2km.rds,solution_es-45_biod-0_budget-100_resolution-2km_2km.tif
es-50_biod-0_budget-100_resolution-2km,0.5,0,1,2,6152954.743264539,451.2399999999998,solution_es-50_biod-0_budget-100_resolution-2km_2km.rds,solution_es-50_biod-0_budget-100_resolution-2km_2km.tif
es-55_biod-0_budget-100_resolution-2km,0.55,0,1,2,6732244.253661608,440.65999999999985,solution_es-55_biod-0_budget-100_resolution-2km_2km.rds,solution_es-55_biod-0_budget-100_resolution-2km_2km.tif
es-60_biod-0_budget-100_resolution-2km,0.6000000000000001,0,1,2,7359841.97600002,412.28999999999905,solution_es-60_biod-0_budget-100_resolution-2km_2km.rds,solution_es-60_biod-0_budget-100_resolution-2km_2km.tif
es-65_biod-0_budget-100_resolution-2km,0.65,0,1,2,8055085.908552871,488.02999999999884,solution_es-65_biod-0_budget-100_resolution-2km_2km.rds,solution_es-65_biod-0_budget-100_resolution-2km_2km.tif
es-70_biod-0_budget-100_resolution-2km,0.7000000000000001,0,1,2,8842155.593002645,479.1700000000001,solution_es-70_biod-0_budget-100_resolution-2km_2km.rds,solution_es-70_biod-0_budget-100_resolution-2km_2km.tif
es-75_biod-0_budget-100_resolution-2km,0.75,0,1,2,9732855.599250363,501.60000000000036,solution_es-75_biod-0_budget-100_resolution-2km_2km.rds,solution_es-75_biod-0_budget-100_resolution-2km_2km.tif
es-80_biod-0_budget-100_resolution-2km,0.8,0,1,2,10735722.300335398,447.64000000000124,solution_es-80_biod-0_budget-100_resolution-2km_2km.rds,solution_es-80_biod-0_budget-100_resolution-2km_2km.tif
es-85_biod-0_budget-100_resolution-2km,0.8500000000000001,0,1,2,11877674.895044738,400.25,solution_es-85_biod-0_budget-100_resolution-2km_2km.rds,solution_es-85_biod-0_budget-100_resolution-2km_2km.tif
es-90_biod-0_budget-100_resolution-2km,0.9,0,1,2,13220248.995968262,432.7099999999991,solution_es-90_biod-0_budget-100_resolution-2km_2km.rds,solution_es-90_biod-0_budget-100_resolution-2km_2km.tif
es-95_biod-0_budget-100_resolution-2km,0.9500000000000001,0,1,2,14949201.870488923,370.89000000000124,solution_es-95_biod-0_budget-100_resolution-2km_2km.rds,solution_es-95_biod-0_budget-100_resolution-2km_2km.tif
es-100_biod-0_budget-100_resolution-2km,1,0,1,2,NA,NA,NA,NA
