scenario,es,biod,budget,resolution,n_selected,runtime,solution,raster,pct_nonzero_pus,pct_land_pus
es-5_biod-0_budget-100_resolution-10km,0.05,0,1,10,208417,3.5100000000002183,solution_es-5_biod-0_budget-100_resolution-10km_10km.rds,solution_es-5_biod-0_budget-100_resolution-10km_10km.tif,17368.083333333332,0.14877757496628863
es-10_biod-0_budget-100_resolution-10km,0.1,0,1,10,210361.1031440574,10.090000000000146,solution_es-10_biod-0_budget-100_resolution-10km_10km.rds,solution_es-10_biod-0_budget-100_resolution-10km_10km.tif,17530.09192867145,0.15016536459600788
es-15_biod-0_budget-100_resolution-10km,0.15000000000000002,0,1,10,216587.0714198973,15.950000000000728,solution_es-15_biod-0_budget-100_resolution-10km_10km.rds,solution_es-15_biod-0_budget-100_resolution-10km_10km.tif,18048.922618324774,0.15460974514988068
es-20_biod-0_budget-100_resolution-10km,0.2,0,1,10,226392.66585232943,16.649999999999636,solution_es-20_biod-0_budget-100_resolution-10km_10km.rds,solution_es-20_biod-0_budget-100_resolution-10km_10km.tif,18866.05548769412,0.16160942636955178
es-25_biod-0_budget-100_resolution-10km,0.25,0,1,10,238319.63511801566,17.19999999999891,solution_es-25_biod-0_budget-100_resolution-10km_10km.rds,solution_es-25_biod-0_budget-100_resolution-10km_10km.tif,19859.96959316797,0.1701234418483575
es-30_biod-0_budget-100_resolution-10km,0.30000000000000004,0,1,10,258821.64263908626,18,solution_es-30_biod-0_budget-100_resolution-10km_10km.rds,solution_es-30_biod-0_budget-100_resolution-10km_10km.tif,21568.470219923856,0.18475871133657343
es-35_biod-0_budget-100_resolution-10km,0.35000000000000003,0,1,10,284056.0747671903,17.8700000000008,solution_es-35_biod-0_budget-100_resolution-10km_10km.rds,solution_es-35_biod-0_budget-100_resolution-10km_10km.tif,23671.339563932528,0.20277220168366952
es-40_biod-0_budget-100_resolution-10km,0.4,0,1,10,311826.70304167626,17.25,solution_es-40_biod-0_budget-100_resolution-10km_10km.rds,solution_es-40_biod-0_budget-100_resolution-10km_10km.tif,25985.558586806354,0.22259614469200503
es-45_biod-0_budget-100_resolution-10km,0.45,0,1,10,341587.83230266965,17.969999999999345,solution_es-45_biod-0_budget-100_resolution-10km_10km.rds,solution_es-45_biod-0_budget-100_resolution-10km_10km.tif,28465.652691889136,0.2438409982294269
es-50_biod-0_budget-100_resolution-10km,0.5,0,1,10,373661.6377276506,18.529999999998836,solution_es-50_biod-0_budget-100_resolution-10km_10km.rds,solution_es-50_biod-0_budget-100_resolution-10km_10km.tif,31138.469810637547,0.2667367456543935
es-55_biod-0_budget-100_resolution-10km,0.55,0,1,10,408678.53788195376,18.43999999999869,solution_es-55_biod-0_budget-100_resolution-10km_10km.rds,solution_es-55_biod-0_budget-100_resolution-10km_10km.tif,34056.544823496144,0.29173340853599083
es-60_biod-0_budget-100_resolution-10km,0.6000000000000001,0,1,10,447134.68178475066,18.079999999999927,solution_es-60_biod-0_budget-100_resolution-10km_10km.rds,solution_es-60_biod-0_budget-100_resolution-10km_10km.tif,37261.22348206255,0.3191851607078998
es-65_biod-0_budget-100_resolution-10km,0.65,0,1,10,489516.3180139342,15.93999999999869,solution_es-65_biod-0_budget-100_resolution-10km_10km.rds,solution_es-65_biod-0_budget-100_resolution-10km_10km.tif,40793.026501161185,0.34943910861657007
es-70_biod-0_budget-100_resolution-10km,0.7000000000000001,0,1,10,536354.6665259389,16.93000000000029,solution_es-70_biod-0_budget-100_resolution-10km_10km.rds,solution_es-70_biod-0_budget-100_resolution-10km_10km.tif,44696.22221049491,0.3828744613327205
es-75_biod-0_budget-100_resolution-10km,0.75,0,1,10,588036.3071119394,18.139999999999418,solution_es-75_biod-0_budget-100_resolution-10km_10km.rds,solution_es-75_biod-0_budget-100_resolution-10km_10km.tif,49003.025592661616,0.41976717717002976
es-80_biod-0_budget-100_resolution-10km,0.8,0,1,10,645128.6864569922,17.44999999999891,solution_es-80_biod-0_budget-100_resolution-10km_10km.rds,solution_es-80_biod-0_budget-100_resolution-10km_10km.tif,53760.72387141601,0.4605223254929227
es-85_biod-0_budget-100_resolution-10km,0.8500000000000001,0,1,10,709115.847644166,16.93999999999869,solution_es-85_biod-0_budget-100_resolution-10km_10km.rds,solution_es-85_biod-0_budget-100_resolution-10km_10km.tif,59092.9873036805,0.5061992840443112
es-90_biod-0_budget-100_resolution-10km,0.9,0,1,10,783191.0476120802,17.209999999999127,solution_es-90_biod-0_budget-100_resolution-10km_10km.rds,solution_es-90_biod-0_budget-100_resolution-10km_10km.tif,65265.92063434002,0.5590775454930855
es-95_biod-0_budget-100_resolution-10km,0.9500000000000001,0,1,10,876946.6593439226,16.94000000000051,solution_es-95_biod-0_budget-100_resolution-10km_10km.rds,solution_es-95_biod-0_budget-100_resolution-10km_10km.tif,73078.88827866022,0.6260045838486152
es-100_biod-0_budget-100_resolution-10km,1,0,1,10,1135422.9562924402,9.199999999998909,solution_es-100_biod-0_budget-100_resolution-10km_10km.rds,solution_es-100_biod-0_budget-100_resolution-10km_10km.tif,94618.57969103668,0.8105167716560722
